NameUa	NameRu	OldNameUa	OldNameRu	Suburb
Володимирська вулиця	Владимирская улица			
Набережно-Хрещатицька вулиця	Набережно-Крещатицкая улица			
Ревуцького вулиця	Ревуцкого улица			
Зої Гайдай вулиця	Зои Гайдай улица			
Йорданська вулиця	Иорданская улица	Лайоша Гавро вулиця	Лайоша Гавро улица	
Оболонський проспект	Оболонский проспект			
Маршала Малиновського вулиця	Маршала Малиновского улица			
Мала Житомирська вулиця	Малая Житомирская улица			
Набережне шосе	Набережное шоссе			
Контрактова площа	Контрактовая площадь			
Турівська вулиця	Туровская улица			
Юрківська вулиця	Юрковская улица			
Оболонська вулиця	Оболонская улица			
Введенська вулиця	Введенская улица			
Щекавицька вулиця	Щекавицкая улица			
Хорива вулиця	Хорива улица			
Рильський провулок	Рыльский переулок			
Малопідвальна вулиця	Малоподвальная улица			
Тараса Шевченка провулок	Тараса Шевченко переулок			
Володимирський проїзд	Владимирский проезд			
Верхній Вал вулиця	Верхний Вал улица			
Ярославський провулок	Ярославский переулок			
Костьольна вулиця	Костёльная улица			
Круглоуніверситетська вулиця	Круглоуниверситетская улица			
Рогнідинська вулиця	Рогнединская улица			
Ділова вулиця	Деловая улица	Димитрова вулиця	Димитрова улица	
Новогоспітальна вулиця	Новогоспитальная улица	Щорса провулок	Щорса переулок	
Михайла Омеляновича-Павленка вулиця	Михаила Омеляновича-Павленко улица	Суворова вулиця	Суворова улица	
Старонаводницька вулиця	Старонаводницкая улица			
Предславинська вулиця	Предславинская улица			
Іоана Павла II вулиця	Иоанна Павла II улица	Патріса Лумумби вулиця	Патриса Лумумбы улица	
Професора Підвисоцького вулиця	Профессора Подвысоцкого улица			
Курганівська вулиця	Кургановская улица			
Болсуновська вулиця	Болсуновская улица	Сергія Струтинського вулиця	Сергея Струтинского улица	
Кріпосний провулок	Крепостной переулок			
Цимлянський провулок	Цимлянский переулок			
Десятинна вулиця	Десятинная улица			
В’ячеслава Липинського вулиця	Вячеслава Липинского улица	Чапаєва вулиця	Чапаева улица	
Вознесенський узвіз	Вознесенский спуск	Смирнова-Ласточкіна вулиця	Смирнова-Ласточкина улица	
Золотоворітська вулиця	Золотоворотская улица			
Ірининська вулиця	Ирининская улица			
Киянівський провулок	Кияновский переулок			
Десятинний провулок	Десятинный переулок			
Алли Тарасової вулиця	Аллы Тарасовой улица			
Ольгинська вулиця	Ольгинская улица			
Архітектора Городецького вулиця	Архитектора Городецкого улица			
Садова вулиця	Садовая улица			
Липська вулиця	Липская улица			
Паньківська вулиця	Паньковская улица			
Микільсько-Ботанічна вулиця	Никольско-Ботаническая улица			
Короленківська вулиця	Короленковская улица			
Фізкультури вулиця	Физкультуры улица			
Василя Тютюнника вулиця	Василия Тютюнника улица	Анрі Барбюса вулиця	Анри Барбюса улица	
Госпітальна вулиця	Госпитальная улица			
Пилипа Орлика вулиця	Филиппа Орлика улица			
Костя Гордієнка провулок	Костя Гордиенко переулок	Чекістів провулок	Чекистов переулок	
Академіка Богомольця вулиця	Академика Богомольца улица			
Липська вулиця	Липская улица			
Леоніда Первомайського вулиця	Леонида Первомайского улица			
Степана Бандери проспект	Степана Бандеры проспект	Московський проспект	Московский проспект	
Олени Теліги вулиця	Елены Телиги улица			
Богатирська вулиця	Богатырская улица			
Богатирська вулиця	Богатырская улица			
Саперно-Слобідська вулиця	Саперно-Слободская улица			
Саперно-Слобідська вулиця	Саперно-Слободская улица			
Пушкіна вулиця				
Народного Ополчення вулиця	Народного Ополчения улица			
Народного Ополчення вулиця	Народного Ополчения улица			
Повітрофлотський проспект	Воздухофлотский проспект			
Академіка Глушкова проспект	Академика Глушкова проспект			
Академіка Глушкова проспект	Академика Глушкова проспект			
Броварський проспект	Броварской проспект			
Володимира Маяковського проспект	Владимира Маяковского проспект			
Володимира Маяковського проспект	Владимира Маяковского проспект			
Володимира Маяковського проспект	Владимира Маяковского проспект			
Володимира Маяковського проспект	Владимира Маяковского проспект			
Володимира Маяковського проспект	Владимира Маяковского проспект			
Володимира Маяковського проспект	Владимира Маяковского проспект			
Володимира Маяковського проспект	Владимира Маяковского проспект			
Теодора Драйзера вулиця	Теодора Драйзера улица			
Теодора Драйзера вулиця	Теодора Драйзера улица			
Теодора Драйзера вулиця	Теодора Драйзера улица			
Володимира Висоцького бульвар	Владимира Высоцкого бульвар			
