NameUa	NameRu	OldNameUa	OldNameRu	Lat	Lon
Київ	Киев			50.4500644	30.5241037
Бориспіль	Борисполь			50.3512101	30.9507700
Водогін (ДВС)	Водогон (ДВС)			50.5676077	30.4631292
Ірпінь	Ирпень			50.5166516	30.2500322
Вишневе	Вишнёвое			50.3917497	30.3678999
Боярка	Боярка			50.3356709	30.2847595
Петрушки	Петрушки			50.4216500	30.1625040
Дмитрівка	Дмитровка			50.4584854	30.1725886
Чорнобиль	Чернобыль			51.2705259	30.2194322
Прип’ять	Припять			51.4061237	30.0571098
Біла Церква	Белая Церковь			49.8038191	30.1116924
Бузова	Бузовая			50.4165610	30.0413210
Музичі	Музычи			50.3604130	30.1075880
Жорнівка	Жорновка			50.3209690	30.1647510
Мартусівка	Мартусовка			50.3077930	30.8641000
Проців	Процев			50.2461810	30.7879920
Ревне	Ревное			50.2870710	30.8353560
Гора	Гора			50.3740390	30.8620400
Петропавлівське	Петропавловское	Петровське	Петровское	50.3261600	30.8233590
Бзів	Бзов			50.3142930	31.2168370
Рогозів	Рогозов			50.2338830	31.0549550
Глибоке	Глубокое			50.2617190	30.9387090
Кийлів	Кийлов			50.1485060	30.8844830
Старе	Старое			50.1483760	31.0801220
Вишгород	Вышгород			50.5824332	30.4851210
Андріївка	Андреевка			50.3977430	31.0700870
Горобіївка	Горобиевка			50.4196850	31.0215850
Сеньківка	Сеньковка			50.4349750	31.0835130
Велика Стариця	Великая Старица			50.4479600	31.0821550
Берестянка	Берестянка			50.6910780	29.9907530
Нове Залісся	Новое Залесье			50.6866570	29.9736600
Бородянка	Бородянка			50.6465712	29.9255843
Шпитьки	Шпитьки			50.4145430	30.1195790
Личанка	Лычанка			50.4058420	30.0968590
Червоне	Червоное			50.0156290	29.9442830
Волошинівка	Волошиновка			50.3213865	31.3183667
Селичівка	Селичевка			50.3393780	31.2749040
Пуща-Водиця	Пуща-Водица			50.5325533	30.3610171
Гоголів	Гоголев			50.5126560	31.0225659
Буча	Буча			50.5485813	30.2207143
Требухів	Требухов			50.4832553	30.9011179
Русанів	Русанов			50.4965506	31.1641955
Славутич	Славутич			51.5201397	30.7562301
Денисовичі	Денисовичи			51.4881481	29.7060609
Машеве				51.4843400	30.1427100
Усів				51.4777210	30.0354613
Городчан	Городчан	Городчани		51.4579000	30.2855300
Коцюбинське	Коцюбинское			51.4558400	30.2515400
Красне	Красное			51.4520600	30.1190200
Бенівка	Бенивка			51.4478260	29.9726600
Кошарівка	Кошаровка			51.4290600	30.0057200
Річиця				51.4229251	29.8472086
Рудьки				51.4215100	29.8000700
Чапаєвка	Чапаевка			51.4204800	30.3263900
Старі Шепеличі				51.4201320	29.9459800
Новошепеличі	Новошепеличи			51.4191020	30.0218600
Зимовище	Зимовище	Zimovishche;Simowischtsche;Zimovišče		51.4187600	30.1770400
Красне	Красное			51.4013937	29.7507212
Нова Красниця				51.3978200	29.8392100
Буда	Буда			51.3954200	29.7777600
Янів				51.3943790	30.0600590
Становище	Становище			51.3882100	29.3836200
Крива Гора	Кривая Гора			51.3834000	30.2055400
Товстий Ліс				51.3830600	29.8035100
Буряківка	Буряковка			51.3792800	29.9109710
Чистогалівка				51.3624610	30.0070990
Вільча	Вильча			51.3597110	29.4313390
Кливини	Кливины			51.3562800	29.6266900
Старосілля				51.3545600	30.2120600
Стара Красниця				51.3473510	29.8512310
Бовище	Бовище			51.3425400	29.7386200
Стара Рудня				51.3332700	29.6400800
Новий Мир				51.3260600	29.5693600
Буда Варовичі	Буда Варовичи			51.3229700	29.4780400
Кошівка	Кошевка			51.3216000	30.2419300
Луб’янка				51.3195380	29.7664300
Вільшанка	Ольшанка			51.3167900	29.6998200
Весняне	Весеннее			51.3068400	29.6387100
Хутір Золотніїв				51.3027200	30.4455200
Стечанка				51.3016890	29.9223000
Лелів				51.3081240	30.1842296
Діброва	Диброва			51.2896796	29.6717232
Варовичі	Варовичи			51.2900090	29.5583710
Іллінці	Ильинцы			51.2896690	29.8656500
Рудня Іллінецька				51.2872700	29.8134600
Паришів	Парышев			51.2848700	30.3178000
Роз’їждже				51.2834900	29.9017000
Ковшилівка	Ковшиловка			51.2749100	29.5079000
Корогод	Корогод			51.2721600	30.0112210
Заглиб’я	Заглыбье			51.2628900	30.4623400
Тараси				51.2608300	29.3029400
Мартиновичі				51.2587700	29.6105590
Рудня-Грезлянська				51.2574000	29.4564100
Грезля	Грезля			51.2560300	29.4378700
Залісся	Залесье			51.2538870	30.1823770
Запілля	Заполье			51.2553400	30.1183300
Ладижичі	Ладыжычи			51.2550000	30.3995100
Іванівка	Ивановка			51.2474987	30.2477772
Замошня	Замошня	Замошшя		51.2395520	29.8903690
Глінка	Глинка			51.2368010	29.9065000
Нівецьке	Нивецкое			51.2392350	29.7863030
Поліське	Полесское			51.2404860	29.3889600
Теремці	Теремцы			51.2299841	30.4972879
Володимирівка	Владимировка			51.2269022	29.2999428
Луговики	Луговики			51.2222330	29.4680210
Плютовище	Плютовище			51.2186000	30.3033800
Федорівка	Фёдоровка			51.2186130	29.6960320
Зірка	Зирка	Червона Зірка		51.2150080	29.4311750
Новосілки	Новосёлки			51.2151700	30.0599700
Черевач	Черевач			51.2141400	30.1320700
Бички	Бычки			51.2095383	29.8734999
Зелена Поляна	Зелёная Поляна			51.2123680	29.5137140
Опачичі	Опачичи			51.2027440	30.3204460
Ямпіль	Ямполь			51.2055600	30.1825300
Оташів				51.1997220	30.3852790
Рагівка	Раговка			51.2002070	29.4104580
Жовтневе	Октябрьское			51.1997200	29.3286900
Черемошна	Черемошна			51.1997220	29.8220710
Мар’янівка	Марьяновка			51.1981430	29.4909800
Котовське	Котовское			51.1990300	29.3668000
Радинка	Радинка			51.1959800	29.7143570
Максимовичі	Максимовичи			51.1966860	29.6148380
Млачівка	Млачевка			51.1887740	29.5516380
Буда-Радинська	Буда-Радинская			51.1877780	29.6821480
Рудня Вересня	Рудня Вересня			51.1874390	30.1015510
Омелянівка	Омеляновка			51.1805230	29.7625600
Іловниця	Иловница			51.1792220	30.0598702
Кам’янка	Каменка			51.1745370	30.2428064
Шевченкове	Шевченково			51.1732900	29.3987300
Ясен	Ясен			51.1650500	29.4334000
Королівка	Короливка			51.1640200	29.6249800
Розсоха	Рассоха			51.1585580	29.9882130
